mal_id,title,title_english,type,source,episodes,status,duration,rating,score,scored_by,rank,popularity,members,favorites,season,year,studios,genres,themes,demographics,engagement_score,score_tier,popularity_momentum,score_z,retention_proxy,airing_era
21729,Cardfight!! Vanguard: Legion Mate-hen,Cardfight!! Vanguard Legion Mate,TV,Original,33,Finished Airing,24 min per ep,PG-13 - Teens 13 or older,6.74,8966,5786,5516,17758,38,spring,2014,TMS Entertainment,Action,Strategy Game,Unknown,13.44815304372192,Average,1.9803724768595963,-0.144766866212859,0.00213976012162847,Streaming Revolution
42282,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X,My Next Life as a Villainess: All Routes Lead to Doom! X,TV,Light novel,12,Finished Airing,23 min per ep,PG-13 - Teens 13 or older,7.25,115500,3163,1015,263159,1097,summer,2021,SILVER LINK.,"Comedy, Fantasy, Romance","Isekai, Reverse Harem, School, Villainess",Shoujo,19.481759313292592,Good,2.2784131739119142,0.43604191068068454,0.004168566651466788,Modern Renaissance
50348,Peter Grill to Kenja no Jikan: Super Extra,Peter Grill and the Philosopher's Time: Super Extra,TV,Manga,12,Finished Airing,12 min per ep,R+ - Mild Nudity,5.94,23204,0,2889,68013,207,fall,2022,"Seven, Wolfsbane","Comedy, Fantasy, Erotica",Harem,Unknown,16.464992222058257,Below Average,2.930963154492566,-1.0558394574184176,0.0030434910459611257,Modern Renaissance
21995,Ao Haru Ride,Blue Spring Ride,TV,Manga,12,Finished Airing,23 min per ep,PG-13 - Teens 13 or older,7.63,523244,1532,184,982725,11071,summer,2014,Production I.G,Romance,"Love Polygon, School",Shoujo,23.110259281998346,Good,1.878135481466617,0.8688013915033248,0.011265602009105286,Streaming Revolution
22013,Koukaku Kidoutai Nyuumon Arise,Koukaku Kidoutai Nyuumon Arise,TV,Unknown,26,Finished Airing,4 min per ep,PG-13 - Teens 13 or older,6.67,1777,6215,7471,8283,7,winter,2014,Production I.G,Comedy,None,Unknown,11.1014020422781,Average,4.658605174353206,-0.22448571794334574,8.450024142926122E-4,Streaming Revolution
31559,Prince of Stride: Alternative,Prince of Stride: Alternative,TV,Mixed media,12,Finished Airing,24 min per ep,PG-13 - Teens 13 or older,6.9,81800,4963,1442,180267,638,winter,2016,Madhouse,Sports,School,Unknown,18.562098818531034,Average,2.203726115817655,0.037447652028252926,0.003539175006102026,Streaming Revolution
31562,Neko no Dayan: Nihon e Iku,Neko no Dayan: Nihon e Iku,TV,Picture book,12,Finished Airing,3 min per ep,G - All Ages,0.0,0,21009,17879,470,1,fall,2015,Kachidoki Studio,Fantasy,Anthropomorphic,Kids,6.84587987526405,Unscored,0.0,null,0.0021231422505307855,Streaming Revolution
38006,Renmei Kuugun Koukuu Mahou Ongakutai Luminous Witches,League of Nations Air Force Aviation Magic Band Luminous Witches,TV,Original,12,Finished Airing,24 min per ep,PG-13 - Teens 13 or older,6.69,5906,6135,4759,25688,70,summer,2022,Shaft,Sci-Fi,"Idols (Female), Military, Music",Unknown,14.416459112810664,Average,4.348738784492975,-0.20170890316320622,0.0027249017089026432,Modern Renaissance
38009,Re:Stage! Dream Days♪,Re:Stage! Dream Days♪,TV,Mixed media,12,Finished Airing,23 min per ep,PG-13 - Teens 13 or older,6.7,4556,6035,6375,12192,41,summer,2019,"Yumeta Company, Graphinica",Slice of Life,"Idols (Female), Music, School",Unknown,13.146204896209795,Average,2.675444371296906,-0.19032049577313698,0.003362585089805626,Global Expansion Era
22101,Soredemo Sekai wa Utsukushii,The World is Still Beautiful,TV,Manga,12,Finished Airing,22 min per ep,PG-13 - Teens 13 or older,7.58,149248,1705,795,332545,2027,spring,2014,Pierrot,"Adventure, Fantasy, Romance",None,Shoujo,20.329335832977577,Good,2.228122131471568,0.8118593545529776,0.006095397328489893,Streaming Revolution
